#;Učni cilji;Koncept/Vsebina;OBD;Podsklop;Sklop;Nivo
1;Otrok pozna in poimenuje digitalne naprave v okolju.;Računalniške naprave najdemo povsod okoli nas in so različnih oblik in ustrojev ter jih uporabljamo v različne namene.;0;Naprave;1;O
2;Otrok razume sestavo digitalnih naprav (ustroj).;Računalniške naprave najdemo povsod okoli nas in so različnih oblik in ustrojev ter jih uporabljamo v različne namene.;0;Naprave;1;O
3;Otrok razume, da digitalne naprave uporabljamo v različne namene.;Računalniške naprave najdemo povsod okoli nas in so različnih oblik in ustrojev ter jih uporabljamo v različne namene.;0;Naprave;1;O
4;Otrok razume, da digitalna naprava deluje, ko je vključena in tudi zna vključiti.;Računalniški sistem deluje, ko je vključen. Tedaj se prične odzivati na naša navodila ali na naše obnašanje.;0;Strojna in programska oprema;1;O
5;Otrok razume, da digitalna naprava deluje samo na osnovi človekovih navodil in ne sama po sebi.;Računalniški sistem deluje, ko je vključen. Tedaj se prične odzivati na naša navodila ali na naše obnašanje.;0;Strojna in programska oprema;1;O
6;Otrok razume, da digitalna naprava, ko je vključena, sprejema naša navodila in jih izvede.;Računalniški sistem deluje, ko je vključen. Tedaj se prične odzivati na naša navodila ali na naše obnašanje.;0;Strojna in programska oprema;1;O
7;Otrok razume, da se nekatere digitalne naprave odzivajo tudi na naše obnašanje, če imajo digitalne naprave komponente, s katerimi to lahko zaznajo.;Računalniški sistem deluje, ko je vključen. Tedaj se prične odzivati na naša navodila ali na naše obnašanje.;0;Strojna in programska oprema;1;O
8;Otrok razume, da lahko digitalna naprava na našo zahtevo v našem imenu drugi digitalni napravi sporoči navodila in jih ta tudi izvede. Na ta način se digitalne naprave povežejo v digitalni sistem.;Računalniški sistem deluje, ko je vključen. Tedaj se prične odzivati na naša navodila ali na naše obnašanje.;0;Strojna in programska oprema;1;O
9;Otrok razume, da digitalno napravo/ digitalni sistem uporabljamo z namenom, da dosežemo nek cilj. S tem namenom digitalni napravi/sistemu damo navodila.;Naša pričakovanja o delovanju računalniškega sistema so lahko drugačna od tega, kako sistem deluje.;0;Odpravljanje težav;1;O
10;Otrok razume, da pričakovanega cilja pa digitalna naprava/sistem lahko ne doseže, če: - smo dali napačna navodila ALI - naprava ne deluje pravilno.;Naša pričakovanja o delovanju računalniškega sistema so lahko drugačna od tega, kako sistem deluje.;0;Odpravljanje težav;1;O
