N;url;cilji;naslov
1;https://rin.si/wp-content/uploads/2026/02/S-01_Prade1.pdf;11_25_26_28_29;Kamen na kamen …, ah, - kos na kos - računalnik
2;https://rin.si/wp-content/uploads/2026/02/S-02_Prade4.pdf;225_226_227_228_229;Povejmo si kaj na blizu in daleč
3;https://rin.si/wp-content/uploads/2026/02/S-03_Trzin2.pdf;41_46_47_51;Gostota prometa
4;https://rin.si/wp-content/uploads/2026/02/S-04_Trzin1.pdf;11_12_13_20_25_26_27_31;Na pomoč! Naprava ne deluje.
5;https://rin.si/wp-content/uploads/2026/02/S-05_Prezihov2.pdf;41_42_44_48_49_50_51_53;Shranjevanje, iskanje in analiza podatkov
6;https://rin.si/wp-content/uploads/2026/02/S-06_Prezihov4.pdf;124_125_127_225_227_228_229_230_232_233;Kako delujejo računalniška omrežja?
7;https://rin.si/wp-content/uploads/2026/02/S-07_Bled2.pdf;40_41_42_51;Postrezi s podatki: Učenje analize skozi igro
8;;;
9;https://rin.si/wp-content/uploads/2026/02/S-09_Logatec3.pdf;67_68_69_70_86;JEŽEK PROGRAMIRA V PUŠČAVI
10;https://rin.si/wp-content/uploads/2026/02/S-010_Logatec4.pdf;127_128_129_225;Omrežje in internet – Ukrivljanje svetlobe
